Comune,Longitudine,Latitudine
aglie,7.7686,45.36343304
airasca,7.48443104,44.91688598
ala stura,7.30434392,45.31511014
albiano d ivrea,7.94914491,45.43389336
alice superiore,7.77701858,45.4600936
almese,7.39518194,45.11766321
alpette,7.57859732,45.40998223
alpignano,7.52426733,45.09446973
andezeno,7.86994864,45.03586095
andrate,7.87383937,45.52837479
angrogna,7.22429215,44.84344991
arignano,7.90244635,45.04402899
avigliana,7.39632339,45.07935742
azeglio,7.9947707,45.4248619
bairo,7.75691809,45.38624929
balangero,7.51930957,45.27003001
baldissero canavese,7.74444451,45.40840358
baldissero torinese,7.81780767,45.06842334
balme,7.21831414,45.30229406
banchette,7.85656384,45.4608501
barbania,7.63051093,45.2905002
bardonecchia,6.70382393,45.07816901
barone canavese,7.87055626,45.32772558
beinasco,7.57915804,45.02207899
bibiana,7.28978596,44.79758015
bobbio pellice,7.11790449,44.80770617
bollengo,7.94534881,45.4733572
borgaro torinese,7.65789441,45.15198241
borgiallo,7.66773369,45.4168132
borgofranco d ivrea,7.85852209,45.51300686
borgomasino,7.98879962,45.36155134
borgone susa,7.24121397,45.12313936
bosconero,7.76506984,45.26856393
brandizzo,7.84147562,45.17765247
bricherasio,7.30288754,44.82558164
brosso,7.80333443,45.49276005
brozolo,8.07127843,45.1174193
bruino,7.46769111,45.0202325
brusasco,8.06009417,45.15595512
bruzolo,7.19397692,45.14312487
buriasco,7.41192286,44.87335846
burolo,7.93205672,45.48411969
busano,7.6557437,45.32883648
bussoleno,7.14931876,45.13727952
buttigliera alta,7.43678073,45.06701514
cafasse,7.51812356,45.24471151
caluso,7.89150532,45.30786205
cambiano,7.77932471,44.9734596
campiglione fenile,7.32503803,44.8021244
candia canavese,7.8866125,45.32816809
candiolo,7.60121104,44.96026547
canischio,7.59521831,45.37434585
cantalupa,7.33260383,44.94030975
cantoira,7.38167977,45.34323553
caprie,7.33250655,45.11786515
caravino,7.9602136,45.39860532
carema,7.81230448,45.58444747
carignano,7.67534298,44.90666664
carmagnola,7.71815745,44.84654865
casalborgone,7.94044052,45.1299627
cascinette d ivrea,7.90469845,45.47845422
caselette,7.48320717,45.10588105
caselle torinese,7.64818634,45.17716554
castagneto po,7.88698844,45.16060833
castagnole piemonte,7.56655619,44.8986196
castellamonte,7.70986533,45.3833354
castelnuovo nigra,7.69511431,45.43732305
castiglione torinese,7.8160937,45.12330917
cavagnolo,8.05131021,45.15207451
cavour,7.37523198,44.78403126
