Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
Audi A3 Sedan 30 TFSI S tronic Business Advanced,https://www.autoscout24.it/annunci/audi-a3-sedan-30-tfsi-s-tronic-business-advanced-elettrica-benzina-grigio-e177fbaa-1a72-4b1d-98ac-698f10981ea5,23900,4,2021,55880,automatico,Ibrido,110,Business Advanced,Middle,30 TFSI,Rivenditore,276,torino,10137,Piemonte,Nord-ovest
Audi A3 SPB 30 TDI S line edition IVA ESPOSTA,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-s-line-edition-iva-esposta-diesel-bianco-0ec414a6-ad9b-4c23-a89f-0a9f7d9ecfbd,22900,3,2022,70000,manuale,Diesel,110,S line,Sport,30 TDI,Rivenditore,259,cherasco,12062,Piemonte,Nord-ovest
"Audi A3 35 TFSI Sedan Business - FULL LED/TELECAMERA/17""",https://www.autoscout24.it/annunci/audi-a3-35-tfsi-sedan-business-full-led-telecamera-17-benzina-grigio-acf877d1-328f-4570-b8f5-fb199e536692,23750,3,2022,42000,manuale,Benzina,110,Business,Base,35 TFSI,Rivenditore,20,castel maggiore,40013,Emilia-Romagna,Nord-est
Audi A3 Sportback 30 2.0 tdi Business / NO VINCOLI,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-no-vincoli-diesel-argento-ee4e0dd2-1f67-4e88-8d0e-57ec9574ef1f,21900,3,2022,40000,manuale,Diesel,110,Business,Base,,Rivenditore,181,tortona,15057,Piemonte,Nord-ovest
Audi A3 SPB 35 TDI S tronic S line edition,https://www.autoscout24.it/annunci/audi-a3-spb-35-tdi-s-tronic-s-line-edition-diesel-grigio-9683b222-fefb-45dc-ac57-6ec42d244f4d,24890,4,2021,104100,automatico,Diesel,110,S line,Sport,35 TDI,Rivenditore,81,alonte,36045,Veneto,Nord-est
Audi A3 SPB 30 1.0 TFSI S tronic MHEV 110CV,https://www.autoscout24.it/annunci/audi-a3-spb-30-1-0-tfsi-s-tronic-mhev-110cv-elettrica-benzina-bianco-db5405ef-b0fb-4c87-a47f-0049feccbd37,22990,2,2023,49858,automatico,Ibrido,110,S,Performance,,Rivenditore,177,sesto san giovanni,20099,Lombardia,Nord-ovest
Audi A3 SPB 30 TDI Business,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-diesel-grigio-ec0f1c54-39ab-47d5-8acc-9fc759c37b4b,23450,2,2023,46830,manuale,Diesel,110,Business,Base,30 TDI,Rivenditore,23,casalecchio reno,40033,Emilia-Romagna,Nord-est
Audi A3 Sportback 40 1.4 tfsi e-tron - s-tronic,https://www.autoscout24.it/annunci/audi-a3-sportback-40-1-4-tfsi-e-tron-s-tronic-elettrica-benzina-bianco-7fd98d47-297e-42f5-b0c8-efebb52a1c67,22390,5,2020,49000,automatico,Ibrido,110,Sport,Middle,,Rivenditore,156,trento,38121,Trentino-Alto Adige/Südtirol,Nord-est
Audi A3 SPB 30 TDI Business Advanced,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-advanced-diesel-nero-e3082ab9-2bdf-411f-bd28-be7e5b7240ba,19900,4,2021,122589,manuale,Diesel,110,Business Advanced,Middle,30 TDI,Rivenditore,194,caronno pertusella,21042,Lombardia,Nord-ovest
Audi A3 Sportback 30 2.0 tdi Business,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-diesel-bianco-ec95674a-e3a7-47dd-960d-6f191adc831c,22400,3,2022,74000,manuale,Diesel,110,Business,Base,,Rivenditore,87,fidenza,43036,Emilia-Romagna,Nord-est
Audi A3 Sportback 30 2.0 tdi s-tronic / NO VINCOLI,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-s-tronic-no-vincoli-diesel-bianco-03bc930a-abce-41b0-b11f-50b1ad58a9e1,23500,4,2021,53000,automatico,Diesel,110,Sport,Middle,,Rivenditore,181,tortona,15057,Piemonte,Nord-ovest
Audi A3 IV Sportback 30 2.0 tdi Business,https://www.autoscout24.it/annunci/audi-a3-iv-sportback-30-2-0-tdi-business-diesel-nero-db1bef6a-fc19-46df-9047-df94e25438cd,24300,4,2021,49500,manuale,Diesel,110,Business,Base,,Rivenditore,101,padova,35129,Veneto,Nord-est
"Audi A3 SPB 30 G-Tron S-Tronic Advanced CERCHI 18, NAVI",https://www.autoscout24.it/annunci/audi-a3-spb-30-g-tron-s-tronic-advanced-cerchi-18-navi-metano-bianco-aa9dafd1-d586-4ad5-b54c-abad8ec308dc,24880,3,2022,63373,automatico,Benzina,110,Advanced,Middle,,Rivenditore,253,monte san giusto,62015,Marche,Centro
Audi A3 SPB 30 TDI Admired S-LINE VIRTUAL COCKPIT,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-admired-s-line-virtual-cockpit-diesel-nero-649b1af6-e5a3-4000-9438-2aa9e26c1c60,20800,5,2020,48730,manuale,Diesel,110,S line,Sport,30 TDI,Rivenditore,687,ceglie messapica,72013,Puglia,Sud
Audi A3 Sportback 35 2.0  *IVA ESPOSTA/SERVICE AUDI*,https://www.autoscout24.it/annunci/audi-a3-sportback-35-2-0-iva-esposta-service-audi-diesel-nero-430c67ff-68b5-4b28-918c-f6a9fd3cb487,19900,4,2021,177000,automatico,Diesel,110,Sport,Middle,,Rivenditore,76,noventa vicentina,36025,Veneto,Nord-est
Audi A3 sportback 30 2.0 tdi business advanced s tronic,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-advanced-s-tronic-diesel-nero-52b4d058-a3f9-4dce-b4f0-7ad31e4e6c98,21500,3,2022,127559,automatico,Diesel,110,Business Advanced,Middle,,Rivenditore,127,venezia,30174,Veneto,Nord-est
Audi A3 SPB 35 TFSI Sport Advanced ECCELLENTI CONDIZIONI,https://www.autoscout24.it/annunci/audi-a3-spb-35-tfsi-sport-advanced-eccellenti-condizioni-benzina-bianco-75ce19d7-81e6-421f-9ce3-88a07298c41c,21400,3,2022,57317,manuale,Benzina,110,Advanced,Middle,35 TFSI,Rivenditore,286,cuneo,12100,Piemonte,Nord-ovest
Audi A3 SPB 30 TDI Business SOLI 30.640 KM!!!NEOPATENTATI,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-soli-30-640-km-neopatentati-diesel-bianco-772ca14f-87b4-44ea-b459-a5aebd4dff86,23700,2,2023,46813,manuale,Diesel,110,Business,Base,30 TDI,Rivenditore,687,ceglie messapica,72013,Puglia,Sud
Audi A3 Sportback 30 2.0 tdi Business Navi,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-navi-diesel-blu-azzurro-221f0a32-1787-44a2-a16e-2cca649903cf,20990,3,2022,49400,manuale,Diesel,110,Business,Base,,Rivenditore,222,varese,21100,Lombardia,Nord-ovest
Audi A3 A3 2021 Sportback Sportback 35 2.0 tdi  s-tronic,https://www.autoscout24.it/annunci/audi-a3-a3-2021-sportback-sportback-35-2-0-tdi-s-tronic-diesel-grigio-b27e0eeb-a209-4720-8f94-a33eaa9976ff,20999,4,2021,110000,automatico,Diesel,110,Sport,Middle,,Rivenditore,490,acerra,80011,Campania,Sud
