Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
Audi A3 Sedan 30 TFSI S tronic Business Advanced,https://www.autoscout24.it/annunci/audi-a3-sedan-30-tfsi-s-tronic-business-advanced-elettrica-benzina-grigio-e177fbaa-1a72-4b1d-98ac-698f10981ea5,30 TFSI,23900.0,55880,automatico,2021,Ibrido,110.0,Rivenditore,10137,torino
Audi A3 SPB 30 TDI S line edition IVA ESPOSTA,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-s-line-edition-iva-esposta-diesel-bianco-0ec414a6-ad9b-4c23-a89f-0a9f7d9ecfbd,30 TDI,22900.0,70000,manuale,2022,Diesel,110.0,Rivenditore,12062,cherasco
"Audi A3 35 TFSI Sedan Business - FULL LED/TELECAMERA/17""",https://www.autoscout24.it/annunci/audi-a3-35-tfsi-sedan-business-full-led-telecamera-17-benzina-grigio-acf877d1-328f-4570-b8f5-fb199e536692,35 TFSI,23750.0,42000,manuale,2022,Benzina,110.0,Rivenditore,40013,castel maggiore
Audi A3 Sportback 30 2.0 tdi Business / NO VINCOLI,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-no-vincoli-diesel-argento-ee4e0dd2-1f67-4e88-8d0e-57ec9574ef1f,,21900.0,40000,manuale,2022,Diesel,110.0,Rivenditore,15057,tortona
Audi A3 SPB 35 TDI S tronic S line edition,https://www.autoscout24.it/annunci/audi-a3-spb-35-tdi-s-tronic-s-line-edition-diesel-grigio-9683b222-fefb-45dc-ac57-6ec42d244f4d,35 TDI,24890.0,104100,automatico,2021,Diesel,110.0,Rivenditore,36045,alonte
Audi A3 SPB 30 1.0 TFSI S tronic MHEV 110CV,https://www.autoscout24.it/annunci/audi-a3-spb-30-1-0-tfsi-s-tronic-mhev-110cv-elettrica-benzina-bianco-db5405ef-b0fb-4c87-a47f-0049feccbd37,,22990.0,49858,automatico,2023,Ibrido,110.0,Rivenditore,20099,sesto san giovanni
Audi A3 SPB 30 TDI Business,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-diesel-grigio-ec0f1c54-39ab-47d5-8acc-9fc759c37b4b,30 TDI,23450.0,46830,manuale,2023,Diesel,110.0,Rivenditore,40033,casalecchio reno
Audi A3 Sportback 40 1.4 tfsi e-tron - s-tronic,https://www.autoscout24.it/annunci/audi-a3-sportback-40-1-4-tfsi-e-tron-s-tronic-elettrica-benzina-bianco-7fd98d47-297e-42f5-b0c8-efebb52a1c67,,22390.0,49000,automatico,2020,Ibrido,110.0,Rivenditore,38121,trento
Audi A3 SPB 30 TDI Business Advanced,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-advanced-diesel-nero-e3082ab9-2bdf-411f-bd28-be7e5b7240ba,30 TDI,19900.0,122589,manuale,2021,Diesel,110.0,Rivenditore,21042,caronno pertusella
Audi A3 Sportback 30 2.0 tdi Business,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-diesel-bianco-ec95674a-e3a7-47dd-960d-6f191adc831c,,22400.0,74000,manuale,2022,Diesel,110.0,Rivenditore,43036,fidenza
