Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Ibrido vs Benzina,is_Diesel vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
23900,4,55880,1,110,1,276,1,0,0,0,1,1,0,0
22900,3,70000,0,110,1,259,0,1,1,0,0,1,0,0
23750,3,42000,0,110,1,20,0,0,0,0,0,0,0,0
21900,3,40000,0,110,1,181,0,1,0,0,0,1,0,0
24890,4,104100,1,110,1,81,0,1,1,0,0,0,0,0
22990,2,49858,1,110,1,177,1,0,0,1,0,1,0,0
23450,2,46830,0,110,1,23,0,1,0,0,0,0,0,0
22390,5,49000,1,110,1,156,1,0,0,0,1,0,0,0
19900,4,122589,0,110,1,194,0,1,0,0,1,1,0,0
22400,3,74000,0,110,1,87,0,1,0,0,0,0,0,0
23500,4,53000,1,110,1,181,0,1,0,0,1,1,0,0
24300,4,49500,0,110,1,101,0,1,0,0,0,0,0,0
24880,3,63373,1,110,1,253,0,0,0,0,1,0,1,0
20800,5,48730,0,110,1,687,0,1,1,0,0,0,0,1
19900,4,177000,1,110,1,76,0,1,0,0,1,0,0,0
21500,3,127559,1,110,1,127,0,1,0,0,1,0,0,0
21400,3,57317,0,110,1,286,0,0,0,0,1,1,0,0
23700,2,46813,0,110,1,687,0,1,0,0,0,0,0,1
20990,3,49400,0,110,1,222,0,1,0,0,0,1,0,0
20999,4,110000,1,110,1,490,0,1,0,0,1,0,0,1
20800,4,167618,1,110,1,107,0,1,1,0,0,0,1,0
24900,2,60000,1,110,1,201,0,1,1,0,0,1,0,0
18900,5,110000,1,110,1,202,0,1,0,1,0,1,0,0
17400,5,102700,0,110,1,194,0,1,0,0,0,1,0,0
20990,5,46000,0,110,1,412,0,1,0,0,0,0,1,0
20200,5,92106,0,110,1,202,0,1,0,0,0,1,0,0
21850,4,105142,0,110,1,228,0,1,0,0,1,0,1,0
23300,3,56653,0,110,1,326,0,0,0,0,1,0,1,0
25000,3,44000,1,110,1,673,0,1,0,0,1,0,0,1
21500,4,33900,0,110,1,160,0,0,0,1,0,0,0,0
24800,3,23626,0,110,1,687,0,1,0,0,0,0,0,1
22900,4,111200,1,110,1,102,0,1,0,0,1,1,0,0
22950,2,47787,1,110,1,160,1,0,0,1,0,1,0,0
23800,4,90800,1,110,1,301,0,0,1,0,0,1,0,0
23490,2,50800,1,110,1,166,1,0,0,0,0,1,0,0
19900,4,137000,1,110,1,177,1,0,1,0,0,1,0,0
23800,4,67400,1,110,1,322,1,0,0,0,0,0,1,0
23800,3,30640,0,110,1,687,0,1,0,0,0,0,0,1
19900,5,136000,1,110,1,748,0,1,1,0,0,0,0,1
24800,4,54039,1,110,1,687,1,0,0,0,1,0,0,1
22900,5,101758,1,110,1,254,0,1,0,0,0,1,0,0
23500,3,97340,0,110,1,487,0,1,0,0,1,0,0,1
24990,4,48804,1,110,1,488,0,1,0,1,0,0,0,1
20490,4,84090,0,110,1,40,0,1,0,0,0,0,0,0
21500,4,121080,0,110,1,57,0,1,1,0,0,0,0,0
18500,5,85531,1,110,1,619,0,1,0,0,0,0,0,1
18490,5,100900,1,110,1,498,0,1,0,0,1,0,0,1
23800,3,88000,1,110,1,186,0,1,0,1,0,0,0,0
23000,4,76947,1,110,1,261,1,0,0,0,0,0,1,0
17499,5,98000,1,110,1,519,0,0,0,0,1,0,0,1
21900,5,98660,0,110,1,121,0,1,0,0,0,1,0,0
24900,4,69000,0,110,1,95,0,0,1,0,0,0,0,0
22950,2,47314,1,110,1,160,1,0,0,1,0,1,0,0
18900,3,125000,0,110,1,135,0,1,1,0,0,0,0,0
22990,4,85000,1,110,1,169,0,1,0,0,1,1,0,0
22700,4,41500,1,110,1,65,0,1,1,0,0,0,0,0
23500,4,25000,0,110,1,181,0,0,0,0,0,0,0,0
21900,3,45500,0,110,1,259,0,1,0,0,0,1,0,0
21500,3,19600,0,110,1,77,0,0,0,0,1,0,0,0
25000,5,85000,0,110,1,130,0,1,1,0,0,1,0,0
20989,3,50000,1,110,1,368,0,0,0,0,1,0,1,0
16950,5,20378,0,110,1,25,0,0,0,0,0,0,0,0
23900,5,81000,1,110,1,228,0,1,1,0,0,0,1,0
22990,2,50877,1,110,1,177,1,0,0,1,0,1,0,0
20900,5,46136,1,110,1,193,0,1,0,0,1,1,0,0
23499,4,89000,1,110,1,201,1,0,1,0,0,1,0,0
19900,5,62248,1,110,1,193,0,0,0,0,1,1,0,0
24950,3,21674,1,110,1,25,0,1,0,0,1,0,0,0
23300,4,88000,1,110,1,223,0,1,1,0,0,0,0,0
20700,4,70000,1,110,1,326,0,1,0,1,0,0,1,0
19400,4,120000,0,110,1,70,0,1,0,1,0,1,0,0
22900,2,39800,0,110,1,259,0,1,0,0,0,1,0,0
22800,4,70000,1,110,1,201,1,0,0,0,1,1,0,0
20900,4,108632,1,110,1,121,0,0,0,0,1,1,0,0
19990,4,38600,1,110,1,326,1,0,0,0,1,0,1,0
22500,3,52000,1,110,1,141,1,0,0,0,1,0,0,0
24400,4,102600,1,110,1,147,1,0,1,0,0,1,0,0
23900,4,73500,0,110,1,87,0,1,0,0,0,0,0,0
23500,4,79000,1,110,1,126,0,1,0,0,0,0,0,0
19200,5,59920,0,110,1,101,0,0,0,0,0,1,0,0
23900,3,42230,0,110,1,177,0,0,0,1,0,1,0,0
21000,4,138000,1,110,1,484,0,1,0,0,1,0,0,1
20990,3,58990,1,110,1,99,1,0,0,0,0,0,1,0
22000,5,89000,1,110,1,232,1,0,0,0,0,1,0,0
19999,4,80000,1,110,1,326,0,1,1,0,0,0,1,0
20900,4,89000,1,110,1,177,0,0,0,0,0,1,0,0
19400,4,123000,1,110,1,95,0,0,0,0,0,0,0,0
22900,5,44031,1,110,1,514,0,1,1,0,0,0,0,1
21900,5,86686,0,110,1,348,0,1,0,0,0,0,0,1
23450,2,50529,0,110,1,25,0,1,0,0,0,0,0,0
21999,5,51095,1,110,1,475,0,1,1,0,0,0,0,1
23900,5,60900,1,110,1,183,0,1,0,0,1,1,0,0
23800,5,27000,0,110,1,588,0,1,1,0,0,0,0,1
21690,5,108000,1,110,1,178,0,0,1,0,0,1,0,0
20900,3,144000,1,110,1,177,0,0,0,1,0,1,0,0
19244,4,80000,1,110,1,326,1,0,1,0,0,0,1,0
21900,4,46600,0,110,1,163,0,0,0,0,1,0,0,0
20990,3,58990,1,110,1,184,1,0,0,0,0,1,0,0
20500,4,105000,1,110,1,180,0,1,0,0,0,1,0,0
22490,4,50990,1,110,1,184,1,0,0,0,1,1,0,0
21000,3,108000,0,110,1,326,0,1,1,0,0,0,1,0
20800,3,64000,1,110,1,326,1,0,1,0,0,0,1,0
23900,4,58705,1,110,1,194,0,1,0,0,0,1,0,0
23000,4,89500,1,110,1,284,1,0,1,0,0,1,0,0
21500,3,43234,0,110,1,201,0,0,0,0,0,1,0,0
18900,5,72400,1,110,1,177,0,0,0,0,1,1,0,0
23600,4,99900,1,110,1,65,0,1,1,0,0,0,0,0
20000,4,47100,1,110,1,105,0,0,0,0,0,0,1,0
24900,3,29900,1,110,1,326,0,1,0,0,1,0,1,0
22900,3,57600,1,110,1,25,1,0,0,0,0,0,0,0
21990,3,49690,0,110,1,232,0,0,0,0,1,1,0,0
24719,3,43084,1,110,1,16,0,1,0,0,0,0,0,0
21800,4,66900,0,110,1,201,0,1,0,0,0,1,0,0
23900,4,66000,1,110,1,275,1,0,0,0,1,1,0,0
23900,3,32595,0,110,1,177,0,1,0,0,1,1,0,0
23500,5,45000,0,110,1,123,0,1,1,0,0,0,0,0
19550,3,104389,0,110,1,25,0,1,0,0,0,0,0,0
24500,3,18000,1,110,1,141,1,0,0,0,0,0,0,0
21600,4,110313,1,110,1,180,1,0,0,0,0,1,0,0
21900,4,129000,1,110,1,210,0,1,0,0,1,0,1,0
19999,3,60000,1,110,1,326,1,0,0,1,0,0,1,0
23200,5,62000,1,110,1,412,0,1,0,0,0,0,1,0
