Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
BMW 118 118i 5p. Msport,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-nero-37cc1d92-f79b-445d-bed6-85aab14d2eae,25900,2,2023,19,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW 118 118i 5p. Msport VIRTUAL,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-bianco-b021e800-42e5-4a8b-a136-46237865f1a1,24900,2,2023,21,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW 116 d Msport M SPORT TELECAMERA UNICO PROPRIETARIO,https://www.autoscout24.it/annunci/bmw-116-d-msport-m-sport-telecamera-unico-proprietario-diesel-grigio-73f55b0e-8e71-42d3-b796-ecdfab34ffa1,22990,4,2021,70,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,178,monza,20900,Lombardia,Nord-ovest
BMW 118 118i M Sport auto VARI COLORI DISPONIBILI,https://www.autoscout24.it/annunci/bmw-118-118i-m-sport-auto-vari-colori-disponibili-benzina-grigio-1705bf53-3a3d-4d0a-bb95-c53dc0ec6103,26500,3,2022,17,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,77,arcole,37040,Veneto,Nord-est
BMW 118 d M Sport Black Cromo Solo 58.000km 2021,https://www.autoscout24.it/annunci/bmw-118-d-m-sport-black-cromo-solo-58-000km-2021-diesel-bianco-e172f19a-4d00-4c27-a247-3b24b957a77d,26900,4,2021,58,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,695,san michele salentino,72018,Puglia,Sud
BMW 118 I M-SPORT LED NAVI VARI COLORI DISPONIBILI,https://www.autoscout24.it/annunci/bmw-118-i-m-sport-led-navi-vari-colori-disponibili-benzina-bianco-2810879d-5457-4041-9e9d-6fe6d3743d3e,26500,3,2022,17,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,77,arcole,37040,Veneto,Nord-est
BMW 118 118d Business Advantage auto,https://www.autoscout24.it/annunci/bmw-118-118d-business-advantage-auto-diesel-bianco-0a7057bb-bb9d-44ab-b016-d81a5362ead5,18900,3,2022,61,automatico,Diesel,136,Advantage,Base,118d,Rivenditore,116,borgoricco,35010,Veneto,Nord-est
BMW 118 i 5p. SPORT EDITION PROMO SUMMER 2025!!,https://www.autoscout24.it/annunci/bmw-118-i-5p-sport-edition-promo-summer-2025-benzina-grigio-16aef594-f837-40f3-969d-541346b8d1eb,23900,2,2023,54,automatico,Benzina,136,Edition,Base,118i,Rivenditore,122,spinea,30038,Veneto,Nord-est
BMW 116 116d M SPORT F40 NEOPATENTATI GARANZIA,https://www.autoscout24.it/annunci/bmw-116-116d-m-sport-f40-neopatentati-garanzia-diesel-blu-azzurro-5f22ecbc-8333-4992-a231-da8b31209590,23900,5,2020,64,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,146,bariano,24050,Lombardia,Nord-ovest
BMW 120 120d xDrive 5p. Luxury,https://www.autoscout24.it/annunci/bmw-120-120d-xdrive-5p-luxury-diesel-bianco-fc7a712d-9402-4203-b171-3f67567cf7ce,25500,5,2020,58,automatico,Diesel,136,Luxury,Middle,120d xDrive,Rivenditore,208,busto arsizio,21052,Lombardia,Nord-ovest
