Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
BMW 118 118i 5p. Msport,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-nero-37cc1d92-f79b-445d-bed6-85aab14d2eae,118i,25900.0,19,automatico,2023,Benzina,136.0,Rivenditore,10034,chivasso
BMW 118 118i 5p. Msport VIRTUAL,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-bianco-b021e800-42e5-4a8b-a136-46237865f1a1,118i,24900.0,21,automatico,2023,Benzina,136.0,Rivenditore,10034,chivasso
BMW 116 d Msport M SPORT TELECAMERA UNICO PROPRIETARIO,https://www.autoscout24.it/annunci/bmw-116-d-msport-m-sport-telecamera-unico-proprietario-diesel-grigio-73f55b0e-8e71-42d3-b796-ecdfab34ffa1,116d,22990.0,70,automatico,2021,Diesel,136.0,Rivenditore,20900,monza
BMW 118 118i M Sport auto VARI COLORI DISPONIBILI,https://www.autoscout24.it/annunci/bmw-118-118i-m-sport-auto-vari-colori-disponibili-benzina-grigio-1705bf53-3a3d-4d0a-bb95-c53dc0ec6103,118i,26500.0,17,automatico,2022,Benzina,136.0,Rivenditore,37040,arcole
BMW 118 d M Sport Black Cromo Solo 58.000km 2021,https://www.autoscout24.it/annunci/bmw-118-d-m-sport-black-cromo-solo-58-000km-2021-diesel-bianco-e172f19a-4d00-4c27-a247-3b24b957a77d,118d,26900.0,58,automatico,2021,Diesel,136.0,Rivenditore,72018,san michele salentino
BMW 118 I M-SPORT LED NAVI VARI COLORI DISPONIBILI,https://www.autoscout24.it/annunci/bmw-118-i-m-sport-led-navi-vari-colori-disponibili-benzina-bianco-2810879d-5457-4041-9e9d-6fe6d3743d3e,118i,26500.0,17,automatico,2022,Benzina,136.0,Rivenditore,37040,arcole
BMW 118 118d Business Advantage auto,https://www.autoscout24.it/annunci/bmw-118-118d-business-advantage-auto-diesel-bianco-0a7057bb-bb9d-44ab-b016-d81a5362ead5,118d,18900.0,61,automatico,2022,Diesel,136.0,Rivenditore,35010,borgoricco
BMW 118 i 5p. SPORT EDITION PROMO SUMMER 2025!!,https://www.autoscout24.it/annunci/bmw-118-i-5p-sport-edition-promo-summer-2025-benzina-grigio-16aef594-f837-40f3-969d-541346b8d1eb,118i,23900.0,54,automatico,2023,Benzina,136.0,Rivenditore,30038,spinea
BMW 116 116d M SPORT F40 NEOPATENTATI GARANZIA,https://www.autoscout24.it/annunci/bmw-116-116d-m-sport-f40-neopatentati-garanzia-diesel-blu-azzurro-5f22ecbc-8333-4992-a231-da8b31209590,116d,23900.0,64,automatico,2020,Diesel,136.0,Rivenditore,24050,bariano
BMW 118d 5p. M Sport,https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-diesel-bianco-bebdf68f-8957-4e35-9ac3-ab43bb73562b,118d,,,automatico,,Diesel,136.0,Rivenditore,80147,napoli
