Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
25900,2,19,1,136,1,262,0,0,1,0,0,1,0,0
24900,2,21,1,136,1,262,0,0,1,0,0,1,0,0
22990,4,70,1,136,1,178,1,0,1,0,0,1,0,0
26500,3,17,1,136,1,77,0,0,1,0,0,0,0,0
26900,4,58,1,136,1,695,1,0,1,0,0,0,0,1
26500,3,17,1,136,1,77,0,0,1,0,0,0,0,0
18900,3,61,1,136,1,116,1,0,0,0,0,0,0,0
23900,2,54,1,136,1,122,0,0,0,0,0,0,0,0
23900,5,64,1,136,1,146,1,0,1,0,0,1,0,0
25500,5,58,1,136,1,208,1,0,0,0,1,1,0,0
31000,5,39,1,136,1,177,1,0,1,0,0,1,0,0
27990,4,49,1,136,1,186,1,0,1,0,0,1,0,0
28900,3,18,1,136,1,77,0,0,1,0,0,0,0,0
23400,3,19,1,136,1,77,0,0,0,0,1,0,0,0
26900,3,24,1,136,1,262,0,0,1,0,0,1,0,0
29900,1,27,1,136,1,276,1,0,1,0,0,1,0,0
29900,1,25,1,136,1,276,1,0,1,0,0,1,0,0
27900,2,15,1,136,1,222,0,0,0,0,1,1,0,0
28900,3,18,1,136,1,77,1,0,1,0,0,0,0,0
27900,2,31,1,136,1,389,0,0,1,0,0,0,0,1
26900,2,45,1,136,1,201,1,0,1,0,0,1,0,0
26900,3,22,1,136,1,93,0,0,1,0,0,0,1,0
28500,5,64,1,136,1,184,1,0,1,0,0,1,0,0
28900,1,16,1,136,1,262,0,0,1,0,0,1,0,0
29990,1,15,1,136,1,383,1,0,1,0,0,0,1,0
26800,4,39,1,136,1,683,1,0,1,0,0,0,0,1
22900,4,69,1,136,1,750,1,0,1,0,0,0,0,1
20250,5,66,1,136,1,163,1,0,0,0,1,0,0,0
31100,4,41,1,136,1,194,1,0,1,0,0,0,1,0
29890,1,9,1,136,1,101,0,0,1,0,0,0,0,0
27900,1,20,1,136,1,178,0,0,1,0,0,1,0,0
27500,4,40,1,136,1,25,1,0,0,1,0,0,0,0
24999,4,65,1,136,1,77,1,0,1,0,0,0,0,0
28490,3,15,1,136,1,459,0,0,1,0,0,0,0,1
23000,4,67,1,136,1,98,1,0,1,0,0,0,1,0
29890,1,8,1,136,1,101,0,0,1,0,0,0,0,0
26500,4,67,1,136,1,222,0,0,1,0,0,1,0,0
25900,1,4,1,136,1,177,1,0,0,0,0,1,0,0
26900,2,19,1,136,1,262,0,0,1,0,0,1,0,0
27500,5,56,1,136,1,91,1,0,1,0,0,0,1,0
20690,4,62,1,136,1,127,1,0,0,0,0,0,0,0
29000,1,4,1,136,1,204,0,0,1,0,0,1,0,0
22900,5,52,1,136,1,218,1,0,1,0,0,1,0,0
21900,3,25,1,136,1,262,0,0,0,0,0,1,0,0
22700,3,16,1,136,1,140,0,0,0,1,0,0,1,0
25900,4,52,1,136,1,463,1,0,1,0,0,0,0,1
24900,2,41,1,136,1,793,0,0,0,0,0,0,0,1
27950,4,34,1,136,1,326,1,0,1,0,0,0,1,0
26500,3,59,1,136,1,23,1,0,1,0,0,0,0,0
28699,3,27,1,136,1,283,0,0,1,0,0,1,0,0
24350,2,53,1,136,1,163,1,0,0,1,0,0,0,0
30980,1,21,1,136,1,326,1,0,0,0,0,0,1,0
32500,1,16,1,136,1,194,1,0,0,0,0,0,1,0
24400,4,44,1,136,1,200,1,0,0,0,0,0,1,0
29900,1,21,1,136,1,91,0,0,1,0,0,1,0,0
29900,2,33,1,136,1,98,1,0,1,0,0,0,1,0
27850,1,17,1,136,1,174,1,0,1,0,0,1,0,0
17000,5,53,1,136,1,177,0,0,0,0,1,1,0,0
26500,4,21,1,136,1,102,0,0,1,0,0,1,0,0
22700,5,53,1,136,1,25,0,0,1,0,0,0,0,0
21990,3,41,1,136,1,82,1,0,1,0,0,0,1,0
22999,4,59,1,136,1,87,1,0,0,0,1,0,1,0
21900,5,40,1,136,1,326,0,0,1,0,0,0,1,0
23900,3,26,1,136,1,65,0,0,1,0,0,0,0,0
29000,5,55,1,136,1,275,1,0,1,0,0,1,0,0
23000,2,47,1,136,1,177,1,0,1,0,0,1,0,0
25900,4,65,1,136,1,103,1,0,1,0,0,0,0,0
23000,4,48,1,136,1,177,1,0,1,0,0,1,0,0
28000,4,55,1,136,1,291,1,0,1,0,0,0,1,0
26000,1,11,1,136,1,177,1,0,1,0,0,1,0,0
26500,2,19,1,136,1,77,0,0,1,0,0,0,0,0
29900,3,60,1,136,1,212,1,0,1,0,0,0,0,0
22500,5,66,1,136,1,337,1,0,0,0,0,0,1,0
25900,4,55,1,136,1,86,1,0,1,0,0,0,0,0
26000,4,64,1,136,1,326,1,0,1,0,0,0,1,0
26960,4,67,1,136,1,196,1,0,1,0,0,1,0,0
22900,4,68,1,136,1,204,1,0,0,1,0,0,0,0
26900,4,62,1,136,1,57,1,0,1,0,0,0,0,0
23990,2,48,1,136,1,65,1,0,1,0,0,0,0,0
28900,4,68,1,136,1,695,1,0,1,0,0,0,0,1
25000,1,12,1,136,1,256,0,0,0,0,0,1,0,0
24900,5,66,1,136,1,342,0,0,1,0,0,0,1,0
26999,4,50,1,136,1,47,1,0,1,0,0,0,0,0
20900,3,45,1,136,1,103,0,0,0,0,0,0,0,0
26960,3,66,1,136,1,326,1,0,1,0,0,0,1,0
