Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
Mercedes-Benz A 200 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-premium-diesel-nero-c652186a-2e80-4321-9e80-69f68ba07fbd,31900,3,2022,34508,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
Mercedes-Benz A 200 MHV SPORT AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-200-mhv-sport-automatic-elettrica-benzina-nero-32f28b18-8955-421e-b0cc-7162203a0897,26900,2,2023,42213,automatico,Ibrido,150,Sport,Middle,A 200,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 AMG LINE PREMIUM,https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-premium-benzina-nero-cc4aebb2-45d8-495c-bcb5-63442e43c011,28000,5,2020,33000,automatico,Benzina,150,AMG line,Sport,A 180,Rivenditore,95,albignasego,35020,Veneto,Nord-est
Mercedes-Benz A 200 A 200 Premium Night edition,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-premium-night-edition-benzina-a1e75f92-84a0-4240-8040-c1290dfad227,28900,3,2022,64900,automatico,Benzina,150,AMG line,Sport,A 200,Rivenditore,68,rovigo,45100,Veneto,Nord-est
Mercedes-Benz A 200 A 200 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-premium-diesel-blu-azzurro-becb89ab-7dfb-4174-8d1a-618b535a8464,27500,5,2020,50000,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,56,viadana,46019,Lombardia,Nord-ovest
Mercedes-Benz A 180 180 amg line premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-amg-line-premium-auto-elettrica-benzina-grigio-83fb7666-7d4e-4c07-b71c-42c286f5ffda,33800,2,2023,13932,automatico,Ibrido,150,AMG line,Sport,A 180,Rivenditore,92,brendola,36040,Veneto,Nord-est
Mercedes-Benz A 180 Premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-premium-auto-benzina-argento-fbbf9d77-54ca-4f1e-bfb7-d40356cef162,30100,3,2022,23769,automatico,Benzina,150,AMG line,Sport,A 180,Rivenditore,92,brendola,36040,Veneto,Nord-est
Mercedes-Benz A 180 MHV SPORT AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-sport-automatic-elettrica-benzina-bianco-874a6ad4-3bb8-4047-935b-92639b8305e5,28800,1,2024,33091,automatico,Ibrido,150,Sport,Middle,A 180,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 220 d PREMIUM AMG SEDAN AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-220-d-premium-amg-sedan-automatic-diesel-nero-772eb53c-57b8-454c-b97f-c1addb94fe6d,35900,2,2023,16106,automatico,Diesel,150,AMG line,Sport,A 220 d,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes-Benz A 180 d PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-automatic-diesel-argento-689da2be-3dbc-4d6c-97fe-d58f791d68bd,29900,3,2022,11500,automatico,Diesel,150,AMG line,Sport,A 180 d,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
