Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località,Venditore,CAP,Comune
Mercedes-Benz A 200 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-premium-diesel-nero-c652186a-2e80-4321-9e80-69f68ba07fbd,A 200 d,31900,34508,automatico,2022,Diesel,150.0,Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo,Rivenditore,40127,bologna
Mercedes-Benz A 200 MHV SPORT AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-200-mhv-sport-automatic-elettrica-benzina-nero-32f28b18-8955-421e-b0cc-7162203a0897,A 200,26900,42213,automatico,2023,Ibrido,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 AMG LINE PREMIUM,https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-premium-benzina-nero-cc4aebb2-45d8-495c-bcb5-63442e43c011,A 180,28000,33000,automatico,2020,Benzina,150.0,Alessandro Cipolletti • IT-35020 Pernumia,Rivenditore,35020,albignasego
Mercedes-Benz A 200 A 200 Premium Night edition,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-premium-night-edition-benzina-a1e75f92-84a0-4240-8040-c1290dfad227,A 200,28900,64900,automatico,2022,Benzina,150.0,Alberto giacchi • IT-45100 Rovigo,Rivenditore,45100,rovigo
Mercedes-Benz A 200 A 200 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-premium-diesel-blu-azzurro-becb89ab-7dfb-4174-8d1a-618b535a8464,A 200 d,27500,50000,automatico,2020,Diesel,150.0,Marco Farina • IT-46019 Viadana - Mantova - MN,Rivenditore,46019,viadana
Mercedes-Benz A 180 180 amg line premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-amg-line-premium-auto-elettrica-benzina-grigio-83fb7666-7d4e-4c07-b71c-42c286f5ffda,A 180,33800,13932,automatico,2023,Ibrido,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 180 Premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-premium-auto-benzina-argento-fbbf9d77-54ca-4f1e-bfb7-d40356cef162,A 180,30100,23769,automatico,2022,Benzina,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 180 MHV SPORT AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-sport-automatic-elettrica-benzina-bianco-874a6ad4-3bb8-4047-935b-92639b8305e5,A 180,28800,33091,automatico,2024,Ibrido,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 220 d PREMIUM AMG SEDAN AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-220-d-premium-amg-sedan-automatic-diesel-nero-772eb53c-57b8-454c-b97f-c1addb94fe6d,A 220 d,35900,16106,automatico,2023,Diesel,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz 180 d progressive advanced plus auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-progressive-advanced-plus-auto-diesel-bianco-b15fc960-ae2a-4c96-8c85-beea5a2d6cd0,A 180,,,automatico,,Benzina,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 180 d PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-automatic-diesel-argento-689da2be-3dbc-4d6c-97fe-d58f791d68bd,A 180 d,29900,11500,automatico,2022,Diesel,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 MHV PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-premium-amg-automatic-elettrica-benzina-bianco-7715c756-5db5-4ca2-9892-dba4f072beae,A 180,30900,23824,automatico,2024,Ibrido,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 A 180 Premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-premium-auto-benzina-nero-02e4791a-f0e6-41e2-a867-1578cc778799,A 180,23400,64000,automatico,2020,Benzina,150.0,Responsabile Vendite • IT-43036 Parma - PR,Rivenditore,43036,fidenza
Mercedes-Benz A 180 d PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-automatic-diesel-nero-f68bf1e5-36cc-4f59-b75b-562a4c305ed3,A 180 d,32500,15838,automatico,2024,Diesel,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 35 AMG 4matic auto,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-4matic-auto-benzina-grigio-6e7b7f3a-ea77-422b-bd87-a91324c03a47,A 35,38900,65711,automatico,2022,Benzina,150.0,Concessionaria Ufficiale BMW MINI Maserati • IT-35131 Padova - Pd,Rivenditore,35131,padova
Mercedes-Benz A 200 A 200 d Premium Night edition auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-premium-night-edition-auto-diesel-grigio-2b83f26c-c67e-444c-ac81-246798542b32,A 200 d,30990,61056,automatico,2021,Diesel,150.0,Responsabile vendite . • IT-50100 Firenze,Rivenditore,50100,
Mercedes-Benz A 180 180 d sport auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-bianco-d56bcafc-a1de-41e8-86b6-2ec2974a1269,A 180,26400,65733,automatico,2022,Diesel,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 180 180 d amg line premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-amg-line-premium-auto-diesel-argento-437918bc-6628-4b01-a8f2-bbc79a25c397,A 180,36500,15095,automatico,2023,Diesel,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 35 AMG a amg 35 race edition 4matic auto,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-amg-35-race-edition-4matic-auto-benzina-grigio-14f6d62b-314c-4363-bb80-bfb584578b35,A 35,39600,45178,automatico,2021,Benzina,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 200 A 200 d Premium Automatic,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-premium-automatic-diesel-nero-393b9e0f-e440-4fd3-8ef8-ee9e3e598cfb,A 200 d,27499,69421,automatico,2019,Diesel,150.0,Centro di consegna • IT-40131 Bologna,Rivenditore,40131,bologna
Mercedes-Benz A 35 AMG A 35 AMG 4Matic,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-35-amg-4matic-benzina-giallo-b887cda2-d051-495f-b077-208c6121990c,A 35,34699,28970,automatico,2019,Benzina,150.0,Centro di consegna • IT-37135 Verona - VR,Rivenditore,37135,verona
Mercedes-Benz A 180 180 d sport auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-bianco-5c5987ea-df93-4be7-b5b6-8e39df66c4fb,A 180,26800,42411,automatico,2021,Diesel,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 200 A 200 Premium Night edition auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-premium-night-edition-auto-benzina-bianco-4f974a4a-0638-4eca-8532-a2bc0c78aca2,A 200,29490,48337,automatico,2021,Benzina,150.0,Responsabile vendite . • IT-50100 Firenze,Rivenditore,50100,
Mercedes-Benz A 200 d AMG Line Advanced Plus auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-advanced-plus-auto-diesel-grigio-e782fc33-d471-4090-8634-f0e6e001cbc8,A 200 d,35900,20600,automatico,2024,Diesel,150.0,Andrea Mametti • IT-43036 Fidenza - Parma - PR,Rivenditore,43036,fidenza
