Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
31900,3,34508,1,150,1,25,1,0,1,0,0,0,0,0
26900,2,42213,1,150,1,97,0,1,0,0,1,0,0,0
28000,5,33000,1,150,1,95,0,0,1,0,0,0,0,0
28900,3,64900,1,150,1,68,0,0,1,0,0,0,0,0
27500,5,50000,1,150,1,56,1,0,1,0,0,1,0,0
33800,2,13932,1,150,1,92,0,1,1,0,0,0,0,0
30100,3,23769,1,150,1,92,0,0,1,0,0,0,0,0
28800,1,33091,1,150,1,97,0,1,0,0,1,0,0,0
35900,2,16106,1,150,1,97,1,0,1,0,0,0,0,0
29900,3,11500,1,150,1,97,1,0,1,0,0,0,0,0
30900,1,23824,1,150,1,97,0,1,1,0,0,0,0,0
23400,5,64000,1,150,1,87,0,0,1,0,0,0,0,0
32500,1,15838,1,150,1,97,1,0,1,0,0,0,0,0
38900,3,65711,1,150,1,101,0,0,0,1,0,0,0,0
26400,3,65733,1,150,1,92,1,0,0,0,1,0,0,0
36500,2,15095,1,150,1,92,1,0,1,0,0,0,0,0
39600,4,45178,1,150,1,92,0,0,0,1,0,0,0,0
27499,6,69421,1,150,1,25,1,0,1,0,0,0,0,0
34699,6,28970,1,150,1,86,0,0,0,1,0,0,0,0
26800,4,42411,1,150,1,92,1,0,0,0,1,0,0,0
35900,1,20600,1,150,1,87,1,0,1,0,0,0,0,0
34900,2,8775,1,150,1,97,1,0,1,0,0,0,0,0
29900,2,13572,1,150,1,97,1,0,0,0,1,0,0,0
38900,1,11539,1,150,1,97,0,1,1,0,0,0,0,0
27900,3,37610,1,150,1,92,1,0,0,0,1,0,0,0
38500,2,19327,1,150,1,92,1,0,1,0,0,0,0,0
21990,5,63559,1,150,1,40,1,0,0,0,0,0,0,0
33850,2,18030,1,150,1,65,1,0,1,0,0,0,0,0
37500,2,10,1,150,1,99,0,1,1,0,0,0,0,0
33300,1,22082,1,150,1,97,1,0,1,0,0,0,0,0
