Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
Opel Corsa 1.5 Diesel Start/Stop Elegance PREZZO +IVA,https://www.autoscout24.it/annunci/opel-corsa-1-5-diesel-start-stop-elegance-prezzo-iva-diesel-bianco-ea758b17-aeaf-4f41-8b01-0a3820a7a54d,1.5 Diesel,4111.0,150000,manuale,2021,Diesel,102.0,Rivenditore,38017,mezzolombardo
Opel Corsa Corsa 1.2 Blitz Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-blitz-edition-s-benzina-bianco-47f0cad5-9589-48fa-9c9b-a9db16e7e058,1.2 75cv,6200.0,6000,manuale,2022,Benzina,102.0,Rivenditore,36016,thiene
Opel Corsa 1.5 GS Line s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-5-gs-line-s-s-100cv-diesel-d9427f32-0cb9-48d6-b889-53f6e5b32155,1.5 Diesel,7990.0,200000,manuale,2020,Diesel,102.0,Privato,81039,villa literno
Opel Corsa Corsa 1.2 Blitz Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-blitz-edition-s-benzina-bianco-47f0cad5-9589-48fa-9c9b-a9db16e7e058,1.2 75cv,6200.0,6000,manuale,2022,Benzina,102.0,Rivenditore,36016,thiene
Opel Corsa 1.4 Turbo Start/Stop On,https://www.autoscout24.it/annunci/opel-corsa-1-4-turbo-start-stop-on-benzina-f5fa72bf-b0a1-47e1-9e57-19a2202a5d1d,,7990.0,146000,manuale,2025,Benzina,102.0,Privato,6124,perugia
Opel Corsa Corsa 1.5 Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-5-edition-s-diesel-bianco-31972ad0-8f07-40a2-a860-e4fd3b41fa31,1.5 Diesel,8000.0,118000,manuale,2020,Diesel,102.0,Privato,20100,
Opel Corsa 1.5 GS Line s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-5-gs-line-s-s-100cv-diesel-d9427f32-0cb9-48d6-b889-53f6e5b32155,1.5 Diesel,7990.0,200000,manuale,2020,Diesel,102.0,Privato,81039,villa literno
Opel Corsa 1.4 Turbo Start/Stop On,https://www.autoscout24.it/annunci/opel-corsa-1-4-turbo-start-stop-on-benzina-f5fa72bf-b0a1-47e1-9e57-19a2202a5d1d,,7990.0,146000,manuale,2025,Benzina,102.0,Privato,6124,perugia
Opel Corsa Corsa 1.2 s&s 75cv * SUPER PROMO,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-s-s-75cv-super-promo-benzina-rosso-617b3c60-0b70-4bac-9251-15392df32f10,1.2 75cv,7900.0,65000,manuale,2022,Benzina,102.0,Rivenditore,10040,almese
Opel Corsa Corsa 1.2 Edition s&s 75cv * SUPER PROMO,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-edition-s-s-75cv-super-promo-benzina-arancione-f8ae27dc-fb96-48b8-bb52-6b821aa36873,1.2 75cv,7900.0,75000,manuale,2021,Benzina,102.0,Rivenditore,10040,almese
Opel Corsa Corsa 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-elegance-s-benzina-nero-cb1ffecf-3618-4eaa-bd08-f89d0e49268c,1.2 75cv,8990.0,118000,manuale,2021,Benzina,102.0,Rivenditore,73010,arnesano
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-d2fe79b3-c556-48e0-9266-3164ca05f2c7,1.2 75cv,8900.0,76000,manuale,2022,Benzina,102.0,Rivenditore,35042,este
