Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_GPL vs Benzina,is_Ibrido vs Benzina,is_Elettrico vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
4111,4,150000,0,102,1,172,1,0,0,0,0,0,1,0,0,0
6200,3,6000,0,102,1,119,0,0,0,0,0,0,0,0,0,0
7990,5,200000,0,102,0,471,1,0,0,0,1,0,0,0,0,1
7900,4,75000,0,102,1,299,0,0,0,0,0,0,0,1,0,0
8990,4,118000,0,102,1,746,0,0,0,0,0,0,1,0,0,1
8900,3,76000,0,102,1,74,0,0,0,0,0,0,0,0,0,0
8990,4,149000,0,102,1,487,0,0,0,0,0,0,1,0,0,1
8990,4,125000,0,102,1,276,1,0,0,0,0,0,0,1,0,0
9600,5,45000,0,102,0,495,0,0,0,0,0,0,1,0,0,1
8900,3,69880,0,102,1,74,0,0,0,0,0,0,0,0,0,0
9500,4,97000,0,102,1,638,0,0,0,0,0,0,1,0,0,1
8999,5,139000,0,102,1,483,0,0,0,0,0,0,1,0,0,1
9400,4,135000,0,102,1,83,0,0,0,0,0,0,1,0,1,0
8900,4,92000,0,102,1,276,0,0,0,0,0,0,1,1,0,0
8500,5,127000,1,102,0,177,0,0,0,0,0,0,1,1,0,0
8500,4,99000,0,102,1,333,0,0,0,0,0,0,1,0,1,0
8800,4,69000,0,102,1,441,0,0,0,0,0,0,1,0,0,1
8950,4,109800,0,102,1,119,0,0,0,0,0,0,1,0,0,0
9000,5,97000,0,102,0,87,0,0,0,0,1,0,0,0,1,0
8500,4,122700,0,102,1,333,0,0,0,0,0,0,0,0,1,0
8900,3,69000,0,102,1,74,0,0,0,0,0,0,0,0,0,0
8900,4,94000,0,102,1,74,0,0,0,0,0,0,0,0,0,0
8900,3,86000,0,102,1,74,0,0,0,0,0,0,0,0,0,0
8490,4,94000,0,102,1,74,0,0,0,0,0,0,0,0,0,0
8990,5,25000,0,102,1,176,0,0,0,0,0,0,1,1,0,0
10400,5,55000,0,102,1,189,0,0,0,0,0,0,0,1,0,0
9800,5,15669,0,102,0,770,0,0,0,0,0,0,0,0,0,1
10500,5,83000,0,102,0,270,0,0,0,0,1,0,0,1,0,0
10490,5,125000,0,102,1,480,1,0,0,0,1,0,0,0,0,1
10200,3,65500,0,102,1,68,0,0,0,0,0,0,0,0,0,0
9900,5,88000,0,102,0,69,0,0,0,0,0,0,1,0,1,0
9990,2,52000,0,102,1,176,0,0,0,0,0,0,0,1,0,0
10500,5,72000,0,102,0,326,0,0,0,0,0,0,1,1,0,0
10547,3,54763,0,102,1,177,1,0,0,0,0,0,0,1,0,0
10300,4,42074,0,102,1,496,0,0,0,0,0,0,0,0,0,1
9490,4,59100,0,102,1,77,0,0,0,0,0,0,1,0,0,0
9490,4,50000,0,102,1,176,0,0,0,0,0,0,0,1,0,0
9500,4,83075,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9990,3,40700,0,102,1,40,0,0,0,0,0,0,0,0,0,0
9900,4,116648,0,102,1,276,0,0,0,0,0,0,1,1,0,0
9500,5,120000,1,102,0,83,1,0,0,0,0,0,1,0,0,0
9800,4,68000,0,102,0,326,0,0,0,0,0,0,0,0,1,0
9400,4,66000,0,102,0,248,0,0,0,0,0,0,1,1,0,0
9900,4,83000,0,102,1,187,0,0,0,0,0,0,1,1,0,0
10000,5,65000,0,102,1,23,0,0,0,0,1,0,0,0,0,0
9500,4,69300,0,102,0,177,0,0,0,0,0,0,0,1,0,0
9999,3,69000,0,102,0,116,0,0,0,0,0,0,0,0,0,0
9990,2,42000,0,102,1,176,0,0,0,0,0,0,1,1,0,0
9900,4,80000,0,102,1,127,0,0,0,0,0,0,1,0,0,0
9900,3,39850,0,102,1,74,0,0,0,0,0,0,0,0,0,0
9990,2,42000,0,102,1,176,0,0,0,0,0,0,1,1,0,0
9990,2,47000,0,102,1,176,0,0,0,0,0,0,1,1,0,0
9900,2,39999,0,102,1,162,1,0,0,0,0,0,1,1,0,0
10000,4,106000,1,102,0,12,0,0,0,0,0,0,1,0,0,0
9900,5,60500,0,102,1,276,0,0,0,0,0,0,0,1,0,0
10000,5,40000,0,102,0,91,0,0,0,0,0,0,1,0,1,0
9800,3,76000,0,102,1,326,0,0,0,0,0,0,1,0,1,0
10000,4,55000,1,102,0,172,1,0,0,0,0,0,0,1,0,0
9690,4,82369,0,102,1,492,0,0,0,0,0,0,0,0,0,1
9950,4,114629,0,102,1,40,0,0,0,0,0,0,1,1,0,0
10000,5,164000,0,102,0,609,1,0,0,0,0,0,1,0,0,1
10000,4,37000,1,102,0,492,0,0,0,0,0,0,1,0,0,1
9900,3,78394,0,102,1,448,0,0,0,0,0,0,0,0,0,1
10000,5,65000,0,102,0,526,0,0,0,0,0,0,1,0,0,1
9500,4,86000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9700,5,102000,0,102,0,204,0,0,0,0,1,0,0,1,0,0
9990,4,76961,0,102,1,31,0,0,0,0,1,0,0,0,0,0
10000,4,101460,0,102,1,276,0,0,0,0,0,0,1,1,0,0
9999,4,133401,0,102,1,292,1,0,0,0,0,0,0,0,1,0
9500,4,80000,0,102,1,638,0,0,0,0,0,0,1,0,0,1
10000,5,79000,0,102,0,92,0,0,0,0,0,0,1,0,0,0
10000,4,70000,0,102,0,788,0,0,0,0,0,0,1,0,0,1
9490,4,86000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9900,3,54880,0,102,1,74,0,0,0,0,0,0,0,0,0,0
9900,5,110000,0,102,1,214,0,0,0,0,1,0,0,1,0,0
10000,4,111000,0,102,0,358,0,0,0,0,0,0,0,0,1,0
9500,4,93000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9900,4,91000,0,102,1,514,0,0,0,0,0,0,1,0,0,1
9490,3,59880,0,102,1,74,0,0,0,0,0,0,0,0,0,0
9500,4,97184,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,85400,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9900,4,110000,0,102,1,299,0,0,0,0,0,0,1,1,0,0
9500,5,110000,0,102,1,326,0,0,0,0,0,0,0,0,1,0
9950,4,92000,0,102,1,296,0,0,0,0,0,0,1,0,1,0
9500,4,81000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9850,4,82000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,94000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,95000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,102000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9500,4,93000,0,102,1,31,0,0,0,0,0,0,1,0,0,0
9900,3,77000,0,102,1,74,0,0,0,0,0,0,0,0,0,0
9950,2,70711,0,102,1,276,0,0,0,0,0,0,0,1,0,0
11500,2,40000,0,102,1,344,0,0,0,0,0,0,1,0,1,0
10900,3,47411,0,102,1,750,0,0,0,0,0,0,0,0,0,1
11890,4,73000,0,102,1,412,0,0,0,0,0,0,0,0,1,0
10499,3,43500,0,102,1,95,0,0,0,0,0,0,0,0,0,0
10547,3,54763,0,102,1,177,1,0,0,0,0,0,0,1,0,0
10999,3,43000,0,102,1,579,0,0,0,0,0,0,0,0,0,1
10747,3,54763,0,102,1,672,1,0,0,0,0,0,0,0,0,1
10490,3,18341,0,102,1,40,0,0,0,0,0,0,0,0,0,0
10990,3,30000,0,102,1,276,0,0,0,0,0,0,0,1,0,0
10800,4,45642,0,102,1,202,0,0,0,0,0,0,1,1,0,0
10950,2,79038,0,102,1,276,0,0,0,0,0,0,1,1,0,0
11000,3,32000,0,102,0,170,0,0,0,0,0,0,1,1,0,0
10500,3,60000,0,102,0,216,0,0,0,0,0,0,1,1,0,0
10999,5,28000,0,102,1,87,0,0,0,0,0,0,1,0,1,0
10990,2,45000,0,102,1,176,0,0,0,0,1,0,0,1,0,0
10900,5,2750,0,102,1,326,0,0,0,0,0,0,0,0,1,0
10800,2,16566,0,102,1,484,0,0,0,0,0,0,0,0,0,1
10600,5,9587,0,102,0,127,0,0,0,0,0,0,1,0,0,0
11000,4,77000,0,102,0,184,0,0,0,0,0,0,1,1,0,0
10500,4,23000,0,102,0,473,0,0,0,0,0,0,1,0,0,1
10990,2,55000,0,102,1,176,0,0,0,0,1,0,0,1,0,0
10500,2,49980,0,102,1,275,0,0,0,0,0,0,0,1,0,0
10500,4,53000,0,102,0,210,0,0,0,0,0,0,1,1,0,0
10950,2,34745,0,102,1,286,0,0,0,0,0,0,0,1,0,0
10500,5,56258,0,102,0,629,0,0,0,0,0,0,1,0,0,1
11000,4,69000,0,102,0,106,0,0,0,0,0,0,0,0,0,0
10980,5,50150,0,102,0,178,0,0,0,0,0,0,1,1,0,0
10500,5,55000,0,102,0,262,1,0,0,0,0,0,0,1,0,0
10490,5,51243,0,102,0,490,0,0,0,0,1,0,0,0,0,1
10990,4,63787,0,102,1,490,0,0,0,0,0,0,1,0,0,1
10999,4,105000,0,102,0,852,1,0,0,0,1,0,0,0,0,1
10900,5,30000,0,102,1,698,0,0,0,0,0,0,0,0,0,1
