Annuncio,Modello,Link,Link2,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,Tipologia,CV,Località,Località2,Venditore
,,,,,,,,,,,,,
"Audi A3
SPB 35 TFSI S tronic Business Advanced",SPB 35 TFSI S tronic Business Advanced,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-fe0a1a95c0433b91?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su&t=2,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-fe0a1a95c0433b91?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su&t=2, 29.600 €,,,,,,,10040 Leini (TO),,AUTOSPORT S.R.L.
"Audi A3 
  
  
  
  
  
  
  

 Incidentata SPORTBACK 30 TFSI S TRONIC BUSINESS ADVANCED",SPORTBACK 30 TFSI S TRONIC BUSINESS ADVANCED,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2022-1e48b71efe09fd55?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2022-1e48b71efe09fd55?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 11.800 €,76.000 km ,Aut. 7 marce ,"Dic, 2022",Ibrida,Usata,81kW (111CV) ,,35040 Megliadino San Vitale (PD),
"Audi A3 Unico proprietario, libero da incidenti  KM.  CERTIFICATI","Unico proprietario, libero da incidenti  KM.  CERTIFICATI",https://autosupermarket.it/annunci/audi-a3-1-0-tfsi-benzina-2020-ccbc7b4ca36171f8?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-1-0-tfsi-benzina-2020-ccbc7b4ca36171f8?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 13.990 €,138.000 km ,Man. 6 marce ,"Gen, 2020",Benzina,Usata,86kW (117CV) ,35025 Cartura (PD),,AUTO STORE 24 SAS DI GRUMAZESCU IONELA & C.
"Audi A3
SPB 35 TDI S tronic Admired",SPB 35 TDI S tronic Admired,https://autosupermarket.it/annunci/audi-a3-35-tdi-fuel-2020-abe68c6991017fee?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-35-tdi-fuel-2020-abe68c6991017fee?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 17.300 €,162.000 km ,Aut. 7 marce ,"Dic, 2020",Diesel,Usata,110kW (150CV) ,42028 POVIGLIO (RE),,Autofrancesco srls
"Audi A3 
  
  
  
  
  
  
  

 Incidentata SPORTBACK 40 TFSI E S TRONIC BUSINESS AUTOMATICA",SPORTBACK 40 TFSI E S TRONIC BUSINESS AUTOMATICA,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2024-f14a6a8dff1c693d?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2024-f14a6a8dff1c693d?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 15.800 €,34.000 km ,Aut. 6 marce ,"Apr, 2024",Ibrida,Usata,110kW (150CV) ,,35040 Megliadino San Vitale (PD),
"Audi A3
SPB 35 TDI S tronic Admired",SPB 35 TDI S tronic Admired,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-d684042537f46522?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-d684042537f46522?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 17.390 €,133.088 km ,Aut. 7 marce ,"Lug, 2020",Diesel,Usata,110kW (150CV) ,,27045 CASTEGGIO PAVIA (PV),
,,,,,,,,,,,,,
"Audi A3
SPB 30 g-tron S tronic Admired",SPB 30 g-tron S tronic Admired,https://autosupermarket.it/annunci/audi-a3-30-g-tron-metano-2020-8c03d48cb0aa9863?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-30-g-tron-metano-2020-8c03d48cb0aa9863?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 17.590 €,132.000 km ,Aut. 7 marce ,"Lug, 2020",Metano,Usata,96kW (131CV) ,,45100 Rovigo (RO),
"Audi A3
A3 Sportback 30 2.0 tdi S line edition s-tronic",A3 Sportback 30 2.0 tdi S line edition s-tronic,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2021-4afab13c0ae19854?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2021-4afab13c0ae19854?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 20.800 €,167.618 km ,Aut. 7 marce ,"Set, 2021",Diesel,Usata,85kW (116CV) ,50054 Fucecchio (FI),,Sani Moreno srl
"Audi A3
Audi A3 1.0 Benzina elettrica",Audi A3 1.0 Benzina elettrica,https://autosupermarket.it/annunci/audi-a3-30-tfsi-benzina-2021-d3d8e9737987bb04?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-30-tfsi-benzina-2021-d3d8e9737987bb04?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 20.800 €,129.000 km ,Aut. 7 marce ,"Mag, 2021",Benzina,Usata,81kW (111CV) ,10090 Buttigliera Alta (TO),,AUTORIPARAZIONI ANGELINO DI CEBANU SERGIU
