Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"BMW
118
118i 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-nero-37cc1d92-f79b-445d-bed6-85aab14d2eae,BMW,118,118i 5p. Msport,,€ 25.900,19.500 km,Automatico,12/2023,Benzina,100 kW (136 CV),Automobile Torino • IT-10034 Chivasso - Torino
"BMW
118
118i 5p. Msport VIRTUAL",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-bianco-b021e800-42e5-4a8b-a136-46237865f1a1,BMW,118,118i 5p. Msport VIRTUAL,,€ 24.900,21.000 km,Automatico,12/2023,Benzina,100 kW (136 CV),Automobile Torino • IT-10034 Chivasso - Torino
"BMW
116
d Msport M SPORT TELECAMERA UNICO PROPRIETARIO",https://www.autoscout24.it/annunci/bmw-116-d-msport-m-sport-telecamera-unico-proprietario-diesel-grigio-73f55b0e-8e71-42d3-b796-ecdfab34ffa1,BMW,116,d Msport M SPORT TELECAMERA UNICO PROPRIETARIO,,€ 22.990,70.000 km,Automatico,08/2021,Diesel,85 kW (116 CV),Responsabile Vendite • IT-20900 Monza - Monza  Brianza - Mb
"BMW
118
118i M Sport auto VARI COLORI DISPONIBILI",https://www.autoscout24.it/annunci/bmw-118-118i-m-sport-auto-vari-colori-disponibili-benzina-grigio-1705bf53-3a3d-4d0a-bb95-c53dc0ec6103,BMW,118,118i M Sport auto VARI COLORI DISPONIBILI,,€ 26.500,17.800 km,Automatico,11/2022,Benzina,103 kW (140 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
118
d M Sport Black Cromo Solo 58.000km 2021",https://www.autoscout24.it/annunci/bmw-118-d-m-sport-black-cromo-solo-58-000km-2021-diesel-bianco-e172f19a-4d00-4c27-a247-3b24b957a77d,BMW,118,d M Sport Black Cromo Solo 58.000km 2021,,€ 26.900,58.000 km,Automatico,10/2021,Diesel,110 kW (150 CV),Giuseppe Amico • IT-72018 San Michele Salentino - Brindisi - Br
"BMW
118
I M-SPORT LED NAVI VARI COLORI DISPONIBILI",https://www.autoscout24.it/annunci/bmw-118-i-m-sport-led-navi-vari-colori-disponibili-benzina-bianco-2810879d-5457-4041-9e9d-6fe6d3743d3e,BMW,118,I M-SPORT LED NAVI VARI COLORI DISPONIBILI,,€ 26.500,17.300 km,Automatico,12/2022,Benzina,103 kW (140 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
118
118d Business Advantage auto",https://www.autoscout24.it/annunci/bmw-118-118d-business-advantage-auto-diesel-bianco-0a7057bb-bb9d-44ab-b016-d81a5362ead5,BMW,118,118d Business Advantage auto,,€ 18.900,61.000 km,Semiautomatico,09/2022,Diesel,110 kW (150 CV),Marco Donadello • IT-35010 Villa del Conte - Padova - PD
"BMW
118
i 5p. SPORT EDITION PROMO SUMMER 2025!!",https://www.autoscout24.it/annunci/bmw-118-i-5p-sport-edition-promo-summer-2025-benzina-grigio-16aef594-f837-40f3-969d-541346b8d1eb,BMW,118,i 5p. SPORT EDITION PROMO SUMMER 2025!!,,€ 23.900,54.283 km,Automatico,03/2023,Benzina,100 kW (136 CV),Andrea Alba • IT-30038 Spinea - Venezia
"BMW
116
116d M SPORT F40 NEOPATENTATI GARANZIA",https://www.autoscout24.it/annunci/bmw-116-116d-m-sport-f40-neopatentati-garanzia-diesel-blu-azzurro-5f22ecbc-8333-4992-a231-da8b31209590,BMW,116,116d M SPORT F40 NEOPATENTATI GARANZIA,,€ 23.900,64.900 km,Automatico,01/2020,Diesel,85 kW (116 CV),Commerciale Commerciale • IT-24050 Morengo - Bergamo - BG
,https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-diesel-bianco-bebdf68f-8957-4e35-9ac3-ab43bb73562b,BMW,118,118d 5p. M Sport,,,,,,,,Salvatore Di Mauro • IT-80147 Napoli - Na
"BMW
120
120d xDrive 5p. Luxury",https://www.autoscout24.it/annunci/bmw-120-120d-xdrive-5p-luxury-diesel-bianco-fc7a712d-9402-4203-b171-3f67567cf7ce,BMW,120,120d xDrive 5p. Luxury,,€ 25.500,58.763 km,Automatico,09/2020,Diesel,140 kW (190 CV),Responsabile Vendite • IT-21052 Busto Arsizio - Varese
