Annuncio,Modello,Link,Link2,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,Tipologia,CV,Località,Venditore
,,,,,,,,,,,,
Mercedes-Benz Classe A - 118 d 5p. Advantage,"BMW Serie 1 118d
118 d 5p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-118d-fuel-2021-57b05f389b3c36b8?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm&t=2,https://autosupermarket.it/annunci/bmw-serie-1-118d-fuel-2021-57b05f389b3c36b8?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm&t=2, 21.890 €,,,,,,,63066 Grottammare (AP),GRUPPO LUMIKA SRL
Mercedes-Benz Classe A - 118d 5p. SPORTLINE LED PRIVACY NAVI CAMERA ASSIST,"BMW Serie 1 118d
118d 5p. SPORTLINE LED PRIVACY NAVI CAMERA ASSIST",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-b557290d279ded7e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-b557290d279ded7e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 22.900 €,65.000 km ,Aut. 6 marce ,"Mag, 2021",Diesel,Usata,110kW (150CV) ,00132 Roma (RM),COMPETITION CARS S.R.L.
Mercedes-Benz Classe A - 118i M-SPORT LED NAVI VIRTUAL BI-ZONA APPLE DAB ASSIST,"BMW Serie 1 118i
118i M-SPORT LED NAVI VIRTUAL BI-ZONA APPLE DAB ASSIST",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2023-ad98437fd12cb8ad?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2023-ad98437fd12cb8ad?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 23.999 €,59.900 km ,Aut. 8 marce ,"Feb, 2023",Benzina,Usata,100kW (136CV) ,00132 Roma (RM),COMPETITION CARS S.R.L.
Mercedes-Benz Classe A - 118 i Advantage,"BMW Serie 1 118i
118 i Advantage",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-1193a67dd080d84b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-1193a67dd080d84b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,"19.900 €
    
    
    

- 4% 19.104 €",92.306 km ,Man. 6 marce ,"Set, 2020",Benzina,Usata,103kW (141CV) ,00188 Roma (RM),MOTOR MARKET SRL
Mercedes-Benz Classe A - 120 d xDrive M-SPORT NAVI VIRTUAL CAMERA LED PDC DAB,"BMW Serie 1 120d
120 d xDrive M-SPORT NAVI VIRTUAL CAMERA LED PDC DAB",https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2024-89e76545f522a0c4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2024-89e76545f522a0c4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 33.700 €,25.400 km ,Aut. 8 marce ,"Giu, 2024",Diesel,Usata,140kW (191CV) ,00132 Roma (RM),COMPETITION CARS S.R.L.
Mercedes-Benz Classe A - 118i ADVANTAGE NAVI LED BI-ZONA VIRTUAL PDC,"BMW Serie 1 118i
118i ADVANTAGE NAVI LED BI-ZONA VIRTUAL PDC",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2022-5975d01d6bf745f4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2022-5975d01d6bf745f4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 21.500 €,65.200 km ,Aut. 8 marce ,"Lug, 2022",Benzina,Usata,101kW (138CV) ,00071 Pomezia (RM),NUOVA M - S.R.L.
Mercedes-Benz Classe A - 120 d xDrive M-SPORT LED PANO VIRTUAL PADDLES CAMERA,"BMW Serie 1 120d
120 d xDrive M-SPORT LED PANO VIRTUAL PADDLES CAMERA",https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2024-d7c99e79be3d330b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2024-d7c99e79be3d330b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 32.300 €,24.900 km ,Aut. 8 marce ,"Mar, 2024",Diesel,Usata,140kW (191CV) ,00132 Roma (RM),COMPETITION CARS S.R.L.
Mercedes-Benz Classe A - 118 i M-SPORT LED NAVI AMBIENTE ASSIST DAB PDC,"BMW Serie 1 118i
118 i M-SPORT LED NAVI AMBIENTE ASSIST DAB PDC",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-19ae9ce5f8a2450d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-19ae9ce5f8a2450d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 20.900 €,56.700 km ,Man. 6 marce ,"Mag, 2021",Benzina,Usata,100kW (136CV) ,00132 Roma (RM),COMPETITION CARS S.R.L.
Mercedes-Benz Classe A - 118i M-SPORT LED VIRTUAL NAVI CAMERA PRIVACY DAB**,"BMW Serie 1 118i
118i M-SPORT LED VIRTUAL NAVI CAMERA PRIVACY DAB**",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2023-410846369eb73251?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2023-410846369eb73251?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 27.900 €,7.900 km ,Aut. 8 marce ,"Dic, 2023",Benzina,Usata,100kW (136CV) ,00169 Roma (RM),PERCONTI AUTO S.R.L.
