Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"Mercedes-Benz
A 200
d Automatic Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-premium-diesel-nero-c652186a-2e80-4321-9e80-69f68ba07fbd,Mercedes-Benz,A 200,d Automatic Premium,,€ 31.900,34.508 km,Automatico,10/2022,Diesel,110 kW (150 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 200
MHV SPORT AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-200-mhv-sport-automatic-elettrica-benzina-nero-32f28b18-8955-421e-b0cc-7162203a0897,Mercedes-Benz,A 200,MHV SPORT AUTOMATIC,,€ 26.900,42.213 km,Automatico,08/2023,Elettrica/Benzina,120 kW (163 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 180
AMG LINE PREMIUM",https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-premium-benzina-nero-cc4aebb2-45d8-495c-bcb5-63442e43c011,Mercedes-Benz,A 180,AMG LINE PREMIUM,€ 28.000,,33.000 km,Automatico,12/2020,Benzina,100 kW (136 CV),Alessandro Cipolletti • IT-35020 Pernumia
"Mercedes-Benz
A 200
A 200 Premium Night edition",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-premium-night-edition-benzina-a1e75f92-84a0-4240-8040-c1290dfad227,Mercedes-Benz,A 200,A 200 Premium Night edition,,€ 28.900,64.900 km,Automatico,05/2022,Benzina,120 kW (163 CV),Alberto giacchi • IT-45100 Rovigo
"Mercedes-Benz
A 200
A 200 d Automatic Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-premium-diesel-blu-azzurro-becb89ab-7dfb-4174-8d1a-618b535a8464,Mercedes-Benz,A 200,A 200 d Automatic Premium,,€ 27.500,50.000 km,Automatico,07/2020,Diesel,110 kW (150 CV),Marco Farina • IT-46019 Viadana - Mantova - MN
"Mercedes-Benz
A 180
180 amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-amg-line-premium-auto-elettrica-benzina-grigio-83fb7666-7d4e-4c07-b71c-42c286f5ffda,Mercedes-Benz,A 180,180 amg line premium auto,,€ 33.800,13.932 km,Semiautomatico,09/2023,Elettrica/Benzina,100 kW (136 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-premium-auto-benzina-argento-fbbf9d77-54ca-4f1e-bfb7-d40356cef162,Mercedes-Benz,A 180,Premium auto,,€ 30.100,23.769 km,- Cambio,05/2022,Benzina,100 kW (136 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
MHV SPORT AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-sport-automatic-elettrica-benzina-bianco-874a6ad4-3bb8-4047-935b-92639b8305e5,Mercedes-Benz,A 180,MHV SPORT AUTOMATIC,,€ 28.800,33.091 km,Automatico,01/2024,Elettrica/Benzina,100 kW (136 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 220
d PREMIUM AMG SEDAN AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-220-d-premium-amg-sedan-automatic-diesel-nero-772eb53c-57b8-454c-b97f-c1addb94fe6d,Mercedes-Benz,A 220,d PREMIUM AMG SEDAN AUTOMATIC,,€ 35.900,16.106 km,Automatico,03/2023,Diesel,140 kW (190 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-progressive-advanced-plus-auto-diesel-bianco-b15fc960-ae2a-4c96-8c85-beea5a2d6cd0,Mercedes-Benz,A 180,180 d progressive advanced plus auto,,,,,,,,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
